python
2022-02-18 20:14:20,134: Key.alt_l
2022-02-18 20:14:20,188: Key.tab
2022-02-18 20:14:20,641: Key.alt_l
2022-02-18 20:14:20,696: Key.tab
2022-02-18 20:14:20,847: Key.tab
2022-02-18 20:14:21,379: Key.tab
2022-02-18 20:14:21,586: Key.tab
    2022-02-18 20:14:30,740: 'd'
    2022-02-18 20:14:30,872: 's'
    2022-02-18 20:14:30,897: 'a'
    2022-02-18 20:14:31,240: 'a'
    2022-02-18 20:14:31,320: 's'
    2022-02-18 20:14:31,397: 'd'
    2022-02-18 20:14:31,943: 'a'
    2022-02-18 20:14:31,992: 's'
    2022-02-18 20:14:32,056: 'd'
    2022-02-18 20:14:33,985: Key.backspace
    2022-02-18 20:14:34,172: Key.backspace
    2022-02-18 20:14:34,338: Key.backspace
    2022-02-18 20:14:34,510: Key.backspace
    2022-02-18 20:14:34,687: Key.backspace
    2022-02-18 20:14:34,864: Key.backspace
    2022-02-18 20:14:35,047: Key.backspace
    2022-02-18 20:14:35,243: Key.backspace
    2022-02-18 20:14:35,695: Key.backspace
    2022-02-18 20:14:45,090: Key.left
    2022-02-18 20:18:34,135: Key.alt_l
    2022-02-18 20:18:34,283: Key.tab
    2022-02-18 20:18:34,814: Key.tab
    2022-02-18 20:18:37,575: 'd'
    2022-02-18 20:18:37,694: Key.enter
    2022-02-18 20:18:49,359: Key.alt_l
    2022-02-18 20:18:49,442: Key.tab
    2022-02-18 20:18:49,811: Key.alt_l
    2022-02-18 20:18:49,845: Key.tab
    2022-02-18 20:18:50,013: Key.tab
    2022-02-18 20:18:50,470: Key.alt_l
    2022-02-18 20:18:50,471: Key.tab
    2022-02-18 20:18:50,652: Key.tab
    2022-02-18 20:18:50,839: Key.tab
    2022-02-18 20:18:51,025: Key.tab
    2022-02-18 20:18:53,174: Key.alt_l
    2022-02-18 20:18:53,213: Key.tab
    2022-02-18 20:18:53,680: Key.tab
    2022-02-18 20:18:54,074: Key.tab
    2022-02-18 20:18:54,275: Key.tab
    2022-02-18 20:18:59,191: Key.alt_l
    2022-02-18 20:18:59,255: Key.tab
    2022-02-18 20:18:59,673: Key.alt_l
    2022-02-18 20:18:59,707: Key.tab
    2022-02-18 20:18:59,879: Key.tab
    2022-02-18 20:19:00,386: Key.tab
    2022-02-18 20:19:00,395: Key.alt_l
    2022-02-18 20:19:00,582: Key.tab
    2022-02-18 20:19:00,759: Key.tab
    2022-02-18 20:19:00,926: Key.tab
    2022-02-18 20:19:01,108: Key.tab
    2022-02-18 20:19:01,295: Key.tab
    2022-02-18 20:19:01,482: Key.tab
    2022-02-18 20:19:27,955: Key.right
    2022-02-18 20:19:28,468: Key.right
    2022-02-18 20:19:28,498: Key.right
    2022-02-18 20:19:28,530: Key.right
    2022-02-18 20:19:28,561: Key.right
    2022-02-18 20:19:28,592: Key.right
    2022-02-18 20:19:28,624: Key.right
    2022-02-18 20:19:28,656: Key.right
    2022-02-18 20:19:28,688: Key.right
    2022-02-18 20:19:28,720: Key.right
    2022-02-18 20:19:28,752: Key.right
    2022-02-18 20:19:29,169: Key.right
    2022-02-18 20:19:29,395: Key.right
    2022-02-18 20:19:29,577: Key.right
    2022-02-18 20:19:29,793: Key.right
